date,product,sell_price,buy_price,spread_pln
2026-02-17 19:50,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3412.0,3206.0,206.0
2026-02-17 19:50,Złota moneta Wiedeński Filharmonik 1/10 oz,1967.0,1787.0,180.0
2026-02-17 19:50,Złota moneta Amerykański Orzeł 1/10 oz,2002.0,1822.0,180.0
2026-02-17 19:50,Srebrna moneta Kanadyjski Liść Klonu 1 oz,358.77,296.15,62.62
2026-02-17 19:50,Srebrna moneta Wiedeński Filharmonik 1 oz,358.77,296.15,62.62
2026-02-17 19:50,Srebrna moneta Amerykański Orzeł 1 oz,370.53,298.77,71.76
2026-02-17 19:50,Srebrna moneta Australijski Kangur 1 oz,358.77,296.15,62.62
2026-02-17 19:55,"Złoty Dukat Austriacki 3,44 g",2085.0,1938.0,147.0
2026-02-17 19:55,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2513.0,2180.0,333.0
2026-02-17 19:55,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3413.0,3207.0,206.0
2026-02-17 19:55,Złota moneta Wiedeński Filharmonik 1/10 oz,1967.0,1787.0,180.0
2026-02-17 19:55,Złota moneta Amerykański Orzeł 1/10 oz,2002.0,1822.0,180.0
2026-02-17 19:55,Srebrna moneta Kanadyjski Liść Klonu 1 oz,359.13,296.73,62.4
2026-02-17 19:55,Srebrna moneta Wiedeński Filharmonik 1 oz,359.13,296.73,62.4
2026-02-17 19:55,Srebrna moneta Amerykański Orzeł 1 oz,370.9,299.35,71.55
2026-02-17 19:55,Srebrna moneta Australijski Kangur 1 oz,359.13,296.73,62.4
2026-02-17 20:20,"Złoty Dukat Austriacki 3,44 g",2084.0,1938.0,146.0
2026-02-17 20:20,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2513.0,2180.0,333.0
2026-02-17 20:20,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3413.0,3207.0,206.0
2026-02-17 20:20,Złota moneta Wiedeński Filharmonik 1/10 oz,1967.0,1787.0,180.0
2026-02-17 20:20,Złota moneta Amerykański Orzeł 1/10 oz,2002.0,1822.0,180.0
2026-02-17 20:20,Srebrna moneta Kanadyjski Liść Klonu 1 oz,359.96,297.45,62.51
2026-02-17 20:20,Srebrna moneta Wiedeński Filharmonik 1 oz,359.96,297.45,62.51
2026-02-17 20:20,Srebrna moneta Amerykański Orzeł 1 oz,371.76,300.08,71.68
2026-02-17 20:20,Srebrna moneta Australijski Kangur 1 oz,359.96,297.45,62.51
2026-02-17 20:21,"Złoty Dukat Austriacki 3,44 g",2084.0,1938.0,146.0
2026-02-17 20:21,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2513.0,2180.0,333.0
2026-02-17 20:21,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3413.0,3207.0,206.0
2026-02-17 20:21,Złota moneta Wiedeński Filharmonik 1/10 oz,1967.0,1787.0,180.0
2026-02-17 20:21,Złota moneta Amerykański Orzeł 1/10 oz,2002.0,1822.0,180.0
2026-02-17 20:21,Srebrna moneta Kanadyjski Liść Klonu 1 oz,359.96,297.45,62.51
2026-02-17 20:21,Srebrna moneta Wiedeński Filharmonik 1 oz,359.96,297.45,62.51
2026-02-17 20:21,Srebrna moneta Amerykański Orzeł 1 oz,371.76,300.08,71.68
2026-02-17 20:21,Srebrna moneta Australijski Kangur 1 oz,359.96,297.45,62.51
2026-02-18 19:38,"Złoty Dukat Austriacki 3,44 g",2133.0,1984.0,149.0
2026-02-18 19:38,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2570.0,2231.0,339.0
2026-02-18 19:38,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3493.0,3282.0,211.0
2026-02-18 19:38,Złota moneta Wiedeński Filharmonik 1/10 oz,2013.0,1829.0,184.0
2026-02-18 19:38,Złota moneta Amerykański Orzeł 1/10 oz,2049.0,1865.0,184.0
2026-02-18 19:38,Srebrna moneta Kanadyjski Liść Klonu 1 oz,378.85,313.08,65.77
2026-02-18 19:38,Srebrna moneta Wiedeński Filharmonik 1 oz,378.85,313.08,65.77
2026-02-18 19:38,Srebrna moneta Amerykański Orzeł 1 oz,391.27,315.85,75.42
2026-02-18 19:38,Srebrna moneta Australijski Kangur 1 oz,378.85,313.08,65.77
2026-02-18 20:17,"Złoty Dukat Austriacki 3,44 g",2135.0,1985.0,150.0
2026-02-18 20:17,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2573.0,2233.0,340.0
2026-02-18 20:17,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3496.0,3284.0,212.0
2026-02-18 20:17,Złota moneta Wiedeński Filharmonik 1/10 oz,2015.0,1831.0,184.0
2026-02-18 20:17,Złota moneta Amerykański Orzeł 1/10 oz,2051.0,1866.0,185.0
2026-02-18 20:17,Srebrna moneta Kanadyjski Liść Klonu 1 oz,377.99,312.33,65.66
2026-02-18 20:17,Srebrna moneta Wiedeński Filharmonik 1 oz,377.99,312.33,65.66
2026-02-18 20:17,Srebrna moneta Amerykański Orzeł 1 oz,390.38,315.09,75.29
2026-02-18 20:17,Srebrna moneta Australijski Kangur 1 oz,377.99,312.33,65.66
2026-02-18 20:20,"Złoty Dukat Austriacki 3,44 g",2135.0,1985.0,150.0
2026-02-18 20:20,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2573.0,2233.0,340.0
2026-02-18 20:20,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3496.0,3284.0,212.0
2026-02-18 20:20,Złota moneta Wiedeński Filharmonik 1/10 oz,2015.0,1831.0,184.0
2026-02-18 20:20,Złota moneta Amerykański Orzeł 1/10 oz,2051.0,1866.0,185.0
2026-02-18 20:20,Srebrna moneta Kanadyjski Liść Klonu 1 oz,377.99,312.33,65.66
2026-02-18 20:20,Srebrna moneta Wiedeński Filharmonik 1 oz,377.99,312.33,65.66
2026-02-18 20:20,Srebrna moneta Amerykański Orzeł 1 oz,390.38,315.09,75.29
2026-02-18 20:20,Srebrna moneta Australijski Kangur 1 oz,377.99,312.33,65.66
2026-02-19 11:42,"Złoty Dukat Austriacki 3,44 g",2139.0,1989.0,150.0
2026-02-19 11:42,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2581.0,2240.0,341.0
2026-02-19 11:42,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3506.0,3295.0,211.0
2026-02-19 11:42,Złota moneta Wiedeński Filharmonik 1/10 oz,2021.0,1837.0,184.0
2026-02-19 11:42,Złota moneta Amerykański Orzeł 1/10 oz,2055.0,1870.0,185.0
2026-02-19 11:42,Srebrna moneta Kanadyjski Liść Klonu 1 oz,386.82,316.83,69.99
2026-02-19 11:42,Srebrna moneta Wiedeński Filharmonik 1 oz,385.79,315.8,69.99
2026-02-19 11:42,Srebrna moneta Amerykański Orzeł 1 oz,399.5,319.64,79.86
2026-02-19 11:42,Srebrna moneta Australijski Kangur 1 oz,385.79,315.8,69.99
2026-02-19 19:37,"Złoty Dukat Austriacki 3,44 g",2140.0,1990.0,150.0
2026-02-19 19:37,"Złota moneta Rosyjskie 5 Rubli Mikołaj II 3,87 g",2579.0,2238.0,341.0
2026-02-19 19:37,"Złota moneta Francuskie 20 Franków Marianna i Kogut 5,81 g",3503.0,3292.0,211.0
2026-02-19 19:37,Złota moneta Wiedeński Filharmonik 1/10 oz,2020.0,1835.0,185.0
2026-02-19 19:37,Złota moneta Amerykański Orzeł 1/10 oz,2055.0,1870.0,185.0
2026-02-19 19:37,Srebrna moneta Kanadyjski Liść Klonu 1 oz,384.8,315.2,69.6
2026-02-19 19:37,Srebrna moneta Wiedeński Filharmonik 1 oz,384.8,315.2,69.6
2026-02-19 19:37,Srebrna moneta Amerykański Orzeł 1 oz,397.38,317.99,79.39
2026-02-19 19:37,Srebrna moneta Australijski Kangur 1 oz,384.8,315.2,69.6
